Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2012	,	Percent	,	0.88983
ACADEMY 20	,	2013	,	Percent	,	0.91373
ACADEMY 20	,	2014	,	Percent	,	0.898
BAYFIELD 10 JT-R	,	2012	,	Percent	,	0.90698
BAYFIELD 10 JT-R	,	2013	,	Percent	,	0.89744
BAYFIELD 10 JT-R	,	2014	,	Percent	,	0.902
CALHAN RJ-1	,	2012	,	Percent	,	0.95238
CALHAN RJ-1	,	2013	,	Percent	,	0.97727
CALHAN RJ-1	,	2014	,	Percent	,	0.833
DE BEQUE 49JT	,	2012	,	Percent	,	0.85714
DE BEQUE 49JT	,	2013	,	Percent	,	0.66667
DE BEQUE 49JT	,	2014	,	Percent	,	0.6
EAGLE COUNTY RE 50	,	2012	,	Percent	,	0.75274
EAGLE COUNTY RE 50	,	2013	,	Percent	,	0.71973
EAGLE COUNTY RE 50	,	2014	,	Percent	,	0.816
