Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2012	,	Number	,	23973
ACADEMY 20	,	2013	,	Number	,	24481
ACADEMY 20	,	2014	,	Number	,	24578
BAYFIELD 10 JT-R	,	2012	,	Number	,	1402
BAYFIELD 10 JT-R	,	2013	,	Number	,	1340
BAYFIELD 10 JT-R	,	2014	,	Number	,	1325
CALHAN RJ-1	,	2012	,	Number	,	510
CALHAN RJ-1	,	2013	,	Number	,	472
CALHAN RJ-1	,	2014	,	Number	,	463
DE BEQUE 49JT	,	2012	,	Number	,	135
DE BEQUE 49JT	,	2013	,	Number	,	146
DE BEQUE 49JT	,	2014	,	Number	,	151
EAGLE COUNTY RE 50	,	2012	,	Number	,	6408
EAGLE COUNTY RE 50	,	2013	,	Number	,	6520
EAGLE COUNTY RE 50	,	2014	,	Number	,	6713
