Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2011	,	Percent	,	0.263
ACADEMY 20	,	2010	,	Percent	,	0.294
ACADEMY 20	,	2009	,	Percent	,	0.264
BAYFIELD 10 JT-R	,	2011	,	Percent	,	0.395
BAYFIELD 10 JT-R	,	2010	,	Percent	,	0.435
BAYFIELD 10 JT-R	,	2009	,	Percent	,	0.293
CALHAN RJ-1	,	2011	,	Percent	,	N/A
CALHAN RJ-1	,	2010	,	Percent	,	N/A
CALHAN RJ-1	,	2009	,	Percent	,	N/A
DE BEQUE 49JT	,	2011	,	Percent	,	N/A
DE BEQUE 49JT	,	2010	,	Percent	,	N/A
DE BEQUE 49JT	,	2009	,	Percent	,	N/A
EAGLE COUNTY RE 50	,	2011	,	Percent	,	0.399
EAGLE COUNTY RE 50	,	2010	,	Percent	,	0.34
EAGLE COUNTY RE 50	,	2009	,	Percent	,	0.449
