Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2012	,	Number	,	1873
ACADEMY 20	,	2012	,	Percent	,	0.078
ACADEMY 20	,	2013	,	Percent	,	0.07912
ACADEMY 20	,	2014	,	Number	,	1952
ACADEMY 20	,	2014	,	Percent	,	0.07942
BAYFIELD 10 JT-R	,	2012	,	Number	,	133
BAYFIELD 10 JT-R	,	2012	,	Percent	,	0.095
BAYFIELD 10 JT-R	,	2013	,	Percent	,	0.09328
BAYFIELD 10 JT-R	,	2014	,	Number	,	103
BAYFIELD 10 JT-R	,	2014	,	Percent	,	0.07774
CALHAN RJ-1	,	2012	,	Number	,	64
CALHAN RJ-1	,	2012	,	Percent	,	0.125
CALHAN RJ-1	,	2013	,	Percent	,	0.10805
CALHAN RJ-1	,	2014	,	Number	,	56
CALHAN RJ-1	,	2014	,	Percent	,	0.12095
DE BEQUE 49JT	,	2012	,	Number	,	14
DE BEQUE 49JT	,	2012	,	Percent	,	0.104
DE BEQUE 49JT	,	2013	,	Percent	,	0.12329
DE BEQUE 49JT	,	2014	,	Number	,	20
DE BEQUE 49JT	,	2014	,	Percent	,	0.13245
EAGLE COUNTY RE 50	,	2012	,	Number	,	672
EAGLE COUNTY RE 50	,	2012	,	Percent	,	0.105
EAGLE COUNTY RE 50	,	2013	,	Percent	,	0.10675
EAGLE COUNTY RE 50	,	2014	,	Number	,	745
EAGLE COUNTY RE 50	,	2014	,	Percent	,	0.11098
