Location	,	Category	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	All Students	,	2011	,	Percent	,	0.002
ACADEMY 20	,	Female Students	,	2011	,	Percent	,	0.002
ACADEMY 20	,	Male Students	,	2011	,	Percent	,	0.002
ACADEMY 20	,	Native American Students	,	2011	,	Percent	,	0
ACADEMY 20	,	Asian Students	,	2011	,	Percent	,	0
ACADEMY 20	,	Black Students	,	2011	,	Percent	,	0
ACADEMY 20	,	Hispanic Students	,	2011	,	Percent	,	0.004
ACADEMY 20	,	White Students	,	2011	,	Percent	,	0.002
ACADEMY 20	,	Native Hawaiian or Other Pacific Islander	,	2011	,	Percent	,	0
ACADEMY 20	,	Two or More Races	,	2011	,	Percent	,	0
ACADEMY 20	,	All Students	,	2012	,	Percent	,	0.004
ACADEMY 20	,	Asian Students	,	2012	,	Percent	,	0.007
ACADEMY 20	,	Black Students	,	2012	,	Percent	,	0.002
ACADEMY 20	,	Female Students	,	2012	,	Percent	,	0.004
ACADEMY 20	,	Hispanic Students	,	2012	,	Percent	,	0.006
ACADEMY 20	,	Male Students	,	2012	,	Percent	,	0.004
ACADEMY 20	,	Native American Students	,	2012	,	Percent	,	0.036
ACADEMY 20	,	Native Hawaiian or Other Pacific Islander	,	2012	,	Percent	,	0
ACADEMY 20	,	Two or More Races	,	2012	,	Percent	,	0
ACADEMY 20	,	White Students	,	2012	,	Percent	,	0.004
BAYFIELD 10 JT-R	,	All Students	,	2011	,	Percent	,	0.004
BAYFIELD 10 JT-R	,	Female Students	,	2011	,	Percent	,	0.005
BAYFIELD 10 JT-R	,	Male Students	,	2011	,	Percent	,	0.003
BAYFIELD 10 JT-R	,	Native American Students	,	2011	,	Percent	,	0
BAYFIELD 10 JT-R	,	Asian Students	,	2011	,	Percent	,	0
BAYFIELD 10 JT-R	,	Black Students	,	2011	,	Percent	,	0
BAYFIELD 10 JT-R	,	Hispanic Students	,	2011	,	Percent	,	0
BAYFIELD 10 JT-R	,	White Students	,	2011	,	Percent	,	0.002
BAYFIELD 10 JT-R	,	Native Hawaiian or Other Pacific Islander	,	2011	,	Percent	,	0
BAYFIELD 10 JT-R	,	Two or More Races	,	2011	,	Percent	,	0.1
BAYFIELD 10 JT-R	,	All Students	,	2012	,	Percent	,	0.004
BAYFIELD 10 JT-R	,	Asian Students	,	2012	,	Percent	,	0
BAYFIELD 10 JT-R	,	Black Students	,	2012	,	Percent	,	0
BAYFIELD 10 JT-R	,	Female Students	,	2012	,	Percent	,	0.008
BAYFIELD 10 JT-R	,	Hispanic Students	,	2012	,	Percent	,	0.01
BAYFIELD 10 JT-R	,	Male Students	,	2012	,	Percent	,	0
