Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2012	,	Percent	,	0.47883
ACADEMY 20	,	2013	,	Percent	,	0.48774
ACADEMY 20	,	2014	,	Percent	,	0.49022
BAYFIELD 10 JT-R	,	2012	,	Percent	,	1
BAYFIELD 10 JT-R	,	2013	,	Percent	,	1
BAYFIELD 10 JT-R	,	2014	,	Percent	,	1
CALHAN RJ-1	,	2012	,	Percent	,	1
CALHAN RJ-1	,	2013	,	Percent	,	1
CALHAN RJ-1	,	2014	,	Percent	,	1
DE BEQUE 49JT	,	2012	,	Percent	,	1
EAGLE COUNTY RE 50	,	2012	,	Percent	,	0.97959
DE BEQUE 49JT	,	2013	,	Percent	,	1
EAGLE COUNTY RE 50	,	2013	,	Percent	,	0.958
DE BEQUE 49JT	,	2014	,	Percent	,	1
EAGLE COUNTY RE 50	,	2014	,	Percent	,	0.9918
