Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2005-2009	,	Currency	,	85060
ACADEMY 20	,	2006-2010	,	Currency	,	85450
ACADEMY 20	,	2008-2012	,	Currency	,	89615
ACADEMY 20	,	2007-2011	,	Currency	,	88099
ACADEMY 20	,	2009-2013	,	Currency	,	89953
BAYFIELD 10 JT-R	,	2005-2009	,	Currency	,	61672
BAYFIELD 10 JT-R	,	2006-2010	,	Currency	,	59009
BAYFIELD 10 JT-R	,	2008-2012	,	Currency	,	63235
BAYFIELD 10 JT-R	,	2007-2011	,	Currency	,	55926
BAYFIELD 10 JT-R	,	2009-2013	,	Currency	,	65380
CALHAN RJ-1	,	2005-2009	,	Currency	,	54706
CALHAN RJ-1	,	2006-2010	,	Currency	,	51384
CALHAN RJ-1	,	2008-2012	,	Currency	,	49324
CALHAN RJ-1	,	2007-2011	,	Currency	,	53281
CALHAN RJ-1	,	2009-2013	,	Currency	,	52284
DE BEQUE 49JT	,	2005-2009	,	Currency	,	61250
DE BEQUE 49JT	,	2006-2010	,	Currency	,	63365
DE BEQUE 49JT	,	2008-2012	,	Currency	,	58750
DE BEQUE 49JT	,	2007-2011	,	Currency	,	66827
DE BEQUE 49JT	,	2009-2013	,	Currency	,	48281
EAGLE COUNTY RE 50	,	2005-2009	,	Currency	,	69241
EAGLE COUNTY RE 50	,	2006-2010	,	Currency	,	71245
EAGLE COUNTY RE 50	,	2008-2012	,	Currency	,	70620
EAGLE COUNTY RE 50	,	2007-2011	,	Currency	,	69928
EAGLE COUNTY RE 50	,	2009-2013	,	Currency	,	73520
