Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2011	,	Number	,	33
ACADEMY 20	,	2012	,	Number	,	35
ACADEMY 20	,	2013	,	Number	,	341
BAYFIELD 10 JT-R	,	2011	,	Number	,	0
BAYFIELD 10 JT-R	,	2012	,	Number	,	0
BAYFIELD 10 JT-R	,	2013	,	Number	,	0
CALHAN RJ-1	,	2011	,	Number	,	0
CALHAN RJ-1	,	2012	,	Number	,	0
CALHAN RJ-1	,	2013	,	Number	,	0
DE BEQUE 49JT	,	2011	,	Number	,	0
DE BEQUE 49JT	,	2012	,	Number	,	0
DE BEQUE 49JT	,	2013	,	Number	,	0
EAGLE COUNTY RE 50	,	2011	,	Number	,	7
EAGLE COUNTY RE 50	,	2012	,	Number	,	15
EAGLE COUNTY RE 50	,	2013	,	Number	,	24
