Location	,	TimeFrame	,	DataFormat	,	Data
ACADEMY 20	,	2012	,	Percent	,	0.01072
ACADEMY 20	,	2013	,	Percent	,	0.01246
ACADEMY 20	,	2014	,	Percent	,	0.0273
BAYFIELD 10 JT-R	,	2012	,	Percent	,	0.01854
BAYFIELD 10 JT-R	,	2013	,	Percent	,	0.03134
BAYFIELD 10 JT-R	,	2014	,	Percent	,	0.05208
CALHAN RJ-1	,	2012	,	Percent	,	0.08824
CALHAN RJ-1	,	2013	,	Percent	,	0.10169
CALHAN RJ-1	,	2014	,	Percent	,	0.19654
DE BEQUE 49JT	,	2012	,	Percent	,	0.26667
DE BEQUE 49JT	,	2013	,	Percent	,	0.06164
DE BEQUE 49JT	,	2014	,	Percent	,	0.09934
EAGLE COUNTY RE 50	,	2012	,	Percent	,	0.1971
EAGLE COUNTY RE 50	,	2013	,	Percent	,	0.2362
EAGLE COUNTY RE 50	,	2014	,	Percent	,	0.18129
